,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.7154005385622515,0.43782166626204533,-1.6339998535706761,0.1127112138474195,-1.6095516683411395,0.1787505912166364
Total REB,0.025058952813004312,0.010911545644380499,2.2965539099320726,0.028802156856425388,0.0027746036878122833,0.047343301938196344
Total AST,0.027363039604289048,0.012811334703791933,2.1358461266483078,0.04097036964340809,0.0011988036102786107,0.053527275598299486
