,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.4261437837020568,0.5133178424540965,-0.8301752802215613,0.41372023941692515,-1.4793849975031903,0.6270974300990768
Total 3PTM,-0.030090682409690334,0.024175308199447666,-1.244686610050242,0.22394304113848107,-0.07969431751863307,0.019512952699252396
Total FTM,0.01767353604027859,0.014653491795267494,1.2060972420229867,0.23824281646453313,-0.012392945598244706,0.047740017678801885
Total REB,0.025433651858943973,0.011424408487809491,2.22625546750041,0.03453508718877376,0.001992701890920094,0.04887460182696785
Total AST,0.031391327261721245,0.014255032692558433,2.2021224320382293,0.03638046987453375,0.002142416169705754,0.06064023835373673
Total TO,-0.022187716549646616,0.017678117420060365,-1.255094986781169,0.2201992834159638,-0.058460217346048164,0.014084784246754932
