,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.7738117980359405,0.4365779683395075,-1.7724481172952389,0.08720208016800984,-1.6681012263330457,0.12047763026116465
Total 3PTM,-0.023111157813714648,0.023767488053898347,-0.9723853762461007,0.33918480603157464,-0.07179665008585318,0.025574334458423876
Total FTM,0.015887267080089494,0.014733269020844144,1.0783260020306906,0.29009070396706205,-0.014292466404198272,0.046067000564377264
Total REB,0.025960994084693167,0.011533361907652721,2.2509476675198488,0.03242617920989764,0.0023359731841481116,0.04958601498523822
Total AST,0.031552211829071815,0.014400141641387964,2.191104269307079,0.036928468527955616,0.0020548588479896226,0.06104956481015401
